Initiating Exchange,Option Symbol,Option Name,Program List Date
NSDQ,LLY,ELI LILLY & CO,9/2/2009
BOX,LM,LEGG MASON INC,4/9/2009
PHLX,LNC,LINCOLN NATIONAL,4/2/2009
AMEX,LNCO,Linn Co. LLC,7/3/2013
ARCA,LNG,CHENIERE ENERGY INC,7/13/2010
ARCA,LOGI,Logitech International S.A. Ord,2/15/2011
ARCA,LOW,LOWES COS,3/27/2009
AMEX,LPS,"Lender Processing Services, Inc.",2/15/2011
PHLX,LPX,LOUISIANA PACIFIC,7/9/2010
NSDQ,LRCX,LAM RESEARCH CORP.,7/20/2010
CBOE,LSI,LSI Corp.,8/12/2010
AMEX,LUV,SOUTHWEST AIRLINES COMPANY,4/9/2009
ARCA,LVLT,LEVEL3 COMMUNICATIONS,7/13/2010
ISE,LXK,LEXMARK INTERNATIONAL,4/21/2010
AMEX,LYG,Lloyds Banking Group Plc ADR,7/13/2010
NSDQ,LYV,Live Nation Entertainment Inc,3/23/2012
AMEX,M,Macy's Inc,4/2/2009
PHLX,MANU,Manchester United PLC,8/20/2012
NSDQ,MAR,MARRIOTT INT'L,7/24/2009
ISE,MAS,MASCO CORP.,7/9/2010
AMEX,MAT,MATTEL INC,2/12/2010
PHLX,MBI,MBIA INC.,2/11/2008
PHLX,MBT,MOBILE TELE SYSTEMS OJSC,7/9/2010
NSDQ,MCHP,MICROCHIP TECHNOLOGY INC,7/14/2010
ISE,MCP,"Molycorp, Inc.",11/16/2011
BOX,MDC,M.D.C. HOLDINGS INC.,8/11/2010
ARCA,MDCO,MEDICINES COMPANY (THE),7/13/2010
AMEX,MDLZ,"Mondelez International, Inc.",10/2/2012
ISE,MDR,MCDERMOTT INTRNATIONAL INC,4/24/2009
AMEX,MDRX,"Allscripts Healthcare Solutions, Inc.",7/13/2010
AMEX,MDT,MEDTRONIC INC,4/2/2009
C2,MDVN,MEDIVATION INC,9/29/2011
PHLX,MED,"Medifast, Inc.",7/2/2010
PHLX,MEET,"MeetMe, Inc.",6/7/2012
CBOE,MELA,"MELA Sciences, Inc",7/20/2010
AMEX,MET,"METLIFE, INC.",4/2/2009
BOX,MFA,MFA Financial Inc,8/11/2010
BOX,MFC,MANULIFE FINANCIAL CORPORATION,8/11/2010
PHLX,MGM,MGM Resorts International,3/30/2009
BOX,MHFI,"McGraw Hill Financial, Inc.",5/22/2013
ISE,MHR,Magnum Hunter Resources Corporation,5/20/2013
CBOE,MLNX,Mellanox Technologies Ltd.,8/12/2010
BOX,MMC,MARSH & MCLENNAN INC,8/11/2010
AMEX,MNI,THE MCCLATCHY COMP CLASS A,7/13/2010
ISE,MNKD,MANNKIND CORPORATION,2/26/2010
AMEX,MNTA,"MOMEMTA PHARMACEUTICALS, INC",7/13/2010
